term,source_url,provenance_quote,relevance_tier,domain,notes
dark factory,https://www.danshapiro.com/blog/2026/01/the-five-levels-from-spicy-autocomplete-to-the-software-factory/,"Why Dark? Maybe you've heard of the Fanuc Dark Factory, the robot factory staffed by robots. It's dark, because it's a place where humans are neither needed nor welcome.",1,ai-coding,Origin term — Shapiro Jan 23 2026 Level 5 of 5-level AI coding model
dark software factory,https://simonwillison.net/2026/Jan/28/the-five-levels/,"The dark software factory, like a factory run by robots where the lights are out because robots don't need to see.",1,ai-coding,Willison gloss on Shapiro Level 5
software factory,https://simonwillison.net/2026/Feb/7/software-factory/,"We built a Software Factory: non-interactive development where specs + scenarios drive agents that write code, run harnesses, and converge without human review.",1,ai-coding,StrongDM-coined name for their Dark Factory implementation
software factory,https://factory.strongdm.ai/,"non-interactive development where specs + scenarios drive agents that write code, run harnesses, and converge without human review",1,ai-coding,StrongDM canonical landing page (snippet from search)
non-interactive coding agent,https://github.com/strongdm/attractor,"nlspec of StrongDM's Attractor, a non-interactive Coding Agent sufficient for use in a Software Factory",1,ai-coding,Repo title (snippet from search) — direct synonym for Dark Factory's coding component
non-interactive development,https://simonwillison.net/2026/Feb/7/software-factory/,"non-interactive development where specs + scenarios drive agents that write code, run harnesses, and converge without human review",1,ai-coding,Process descriptor used by StrongDM and quoted by Willison
no hand-coded software,https://simonwillison.net/2026/Feb/7/software-factory/,"Their new team started with the rule ""no hand-coded software""—radical for July 2025",1,ai-coding,Operating rule of StrongDM team — direct Dark Factory rule
code must not be reviewed by humans,https://simonwillison.net/2026/Feb/7/software-factory/,"Code must not be written by humans / Code must not be reviewed by humans",1,ai-coding,StrongDM's mantra — sharpest possible Dark Factory phrasing
autonomous coding agents,https://c3.ai/blog/autonomous-coding-agents-beyond-developer-productivity/,Autonomous Coding Agents: Beyond Developer Productivity,1,ai-coding,Industry term that overlaps Dark Factory; flag — quote is page title from search snippet
Attractor,https://github.com/strongdm/attractor,"Attractor, the non-interactive coding agent at the heart of their software factory. Except the repo itself contains no code at all—just three markdown files describing the spec",2,ai-coding,Specific tool — first public Dark Factory coding agent (quote from Willison source.md)
CXDB,https://github.com/strongdm/cxdb,"This is their ""AI Context Store""—a system for storing conversation histories and tool outputs in an immutable DAG.",2,ai-coding,StrongDM's context store; quote from Willison source.md
AI Context Store,https://simonwillison.net/2026/Feb/7/software-factory/,"This is their ""AI Context Store""—a system for storing conversation histories and tool outputs in an immutable DAG.",2,ai-coding,Component category — immutable DAG of agent IO
Digital Twin Universe,https://factory.strongdm.ai/techniques,"behavioral clones of the third-party services our software depends on. We built twins of Okta, Jira, Slack, Google Docs, Google Drive, and Google Sheets",2,ai-coding,StrongDM technique for sim-based scenario validation; quote from Willison source.md
DTU,https://simonwillison.net/2026/Feb/7/software-factory/,"With the DTU, we can validate at volumes and rates far exceeding production limits.",2,ai-coding,Abbreviation of Digital Twin Universe
Gene Transfusion,https://factory.strongdm.ai/techniques/gene-transfusion,"Gene Transfusion for having agents extract patterns from existing systems and reuse them elsewhere",2,ai-coding,StrongDM coining; quote from Willison source.md
Semports,https://factory.strongdm.ai/techniques/semport,"Semports for directly porting code from one language to another",2,ai-coding,StrongDM coining; quote from Willison source.md
Pyramid Summaries,https://factory.strongdm.ai/techniques/pyramid-summaries,"Pyramid Summaries for providing multiple levels of summary such that an agent can enumerate the short ones quickly and zoom in on more detailed information as it is needed.",2,ai-coding,StrongDM coining; quote from Willison source.md
scenario testing,https://simonwillison.net/2026/Feb/7/software-factory/,"StrongDM's answer was inspired by Scenario testing (Cem Kaner, 2003).",2,ai-coding,LLM-era repurposing of 2003 QA term; tier-3 reference is the Kaner concept
satisfaction,https://simonwillison.net/2026/Feb/7/software-factory/,"We use the term satisfaction to quantify this validation: of all the observed trajectories through all the scenarios, what fraction of them likely satisfy the user?",2,ai-coding,Probabilistic-success metric replacing boolean test pass/fail
holdout scenarios,https://simonwillison.net/2026/Feb/7/software-factory/,"often stored outside the codebase (similar to a ""holdout"" set in model training), which could be intuitively understood and flexibly validated by an LLM",2,ai-coding,Validation pattern: scenarios kept where coding agents can't see them
long-horizon agentic coding,https://simonwillison.net/2026/Feb/7/software-factory/,"long-horizon agentic coding workflows began to compound correctness rather than error.",2,ai-coding,Capability threshold cited as the inflection enabling Dark Factory
spicy autocomplete,https://www.danshapiro.com/blog/2026/01/the-five-levels-from-spicy-autocomplete-to-the-software-factory/,Spicy autocomplete — Level 0 of the 5-level model,3,ai-coding,Level 0 nickname; opposite end of Dark Factory
agentic engineering,https://simonwillison.net/2026/May/6/vibe-coding-and-agentic-engineering/,"vibe coding ... a very different beast from responsible use of AI to write code, which he started calling agentic engineering",2,ai-coding,Willison's preferred term; orchestration with oversight (snippet from search)
vibe coding,https://simonwillison.net/2026/May/6/vibe-coding-and-agentic-engineering/,"Vibe coding means going with the vibes and not reviewing the code",3,ai-coding,Adjacent — anti-rigor cousin; snippet from search
YOLO mode,https://forum.cursor.com/t/yolo-mode-is-amazing/36262,"YOLO mode ... the composer is now capable of writing code, executing that code in the terminal, then fixing any bugs ... all without your input",2,ai-coding,Cursor feature flagged in StrongDM source as inflection point; snippet from search
agentic loop,https://code.claude.com/docs/en/how-claude-code-works,"three phases: gather context, take action, and verify results",2,ai-coding,Core control loop in Claude Code harness (snippet from search)
coding agent harness,https://medium.com/jonathans-musings/inside-the-agent-harness-how-codex-and-claude-code-actually-work-63593e26c176,"Inside the Agent Harness: How Codex and Claude Code Actually Work",2,ai-coding,Architecture term — wrapper around model that drives agent loop; page title from search
spec-driven verification,https://agent-wars.com/news/2026-03-14-spec-driven-verification-claude-code-agents,Spec-Driven Verification for Overnight Coding Agents,2,ai-coding,Verification pattern named for autonomous coding; page title from search
overnight coding agents,https://agent-wars.com/news/2026-03-14-spec-driven-verification-claude-code-agents,Spec-Driven Verification for Overnight Coding Agents,3,ai-coding,Adjacent framing for unattended runs
agentic coding,https://www.teamday.ai/blog/complete-guide-agentic-coding-2026,The Complete Guide to Agentic Coding 2026,2,ai-coding,Umbrella term for AI-led coding workflows; snippet from search
inflection point (Nov 2025),https://simonwillison.net/2026/Jan/4/inflection/,"the November 2025 inflection point, where Claude Opus 4.5 and GPT 5.2 appeared to turn the corner on how reliably a coding agent could follow instructions",3,ai-coding,Capability-threshold framing supporting Dark Factory feasibility
self-congratulation machine,https://arxiv.org/html/2505.16339v1,"Having an LLM write its own tests creates what's called a ""self-congratulation machine""",3,ai-coding,Anti-pattern critique of agent-written tests; snippet from search
eval harness,https://www.anthropic.com/engineering/demystifying-evals-for-ai-agents,Demystifying evals for AI agents,3,ai-coding,Adjacent — testing infra for agents; page title from search
Fanuc Dark Factory,https://www.organizedergi.com/News/5493/robots-the-maker-of-robots-in-fanuc-s-dark-factory,"the robot factory staffed by robots ... humans are neither needed nor welcome",1,manufacturing,DISAMBIGUATION — original lights-out manufacturing referent; out of scope for the report body
software factory (1990s),https://en.wikipedia.org/wiki/Software_factory,Software factory (industrialized software engineering),1,legacy-se,DISAMBIGUATION — Cusumano/Greenfield 1960s–2000s industrialized-software-engineering term; out of scope
lights-out manufacturing,https://en.wikipedia.org/wiki/Lights_out_(manufacturing),lights-out manufacturing,1,manufacturing,DISAMBIGUATION — generic factory automation; flag and exclude
