related term,relevance to pattern
"dark factory","Canonical name; coined by Dan Shapiro (Jan 2026) and adopted by Simon Willison; the maximum-autonomy level on his five-level ladder."
"software factory","StrongDM's preferred name for the same pattern; describes specs+scenarios driving agents that converge without human review."
"lights-out development","Direct metaphor borrowed from Fanuc's lights-out manufacturing; lights-out coding is the Dark Factory metaphor's source."
"Level 5 AI coding","Shapiro's autonomous-driving analogy; Level 5 is the dark factory at which the implementation loop is fully autonomous."
"non-interactive development","StrongDM's own technical phrase: 'non-interactive development where specs + scenarios drive agents'."
"agentic coding","Umbrella term for AI agents writing code; the dark factory is the maximally agentic instance of agentic coding."
"autonomous coding agents","Generic name for the agents that staff a dark factory; e.g. Devin, Codex, Claude Code, Cursor's cloud agents."
"agent-native development","Used by the company Factory.ai for agent-first SDLCs; a near-synonym for the dark factory operating model."
"AI-native development","More general industry term that subsumes dark factory practices."
"agent fleet / agent swarm","Architectural term: many agents coordinated as a fleet; SWE-AF and Cursor experiments use it."
"async / background coding agents","Async coding agents (Devin, Codex Cloud, Cursor cloud agents) are the typical workers inside a dark factory."
"headless agent mode","Claude Code's headless mode etc; dark factories run agents headlessly with no human in the prompt loop."
"spec-driven development (SDD)","The seed half of the dark factory loop; specs are the human-authored input that agents implement."
"scenario-driven development","StrongDM's specific framing: scenarios are end-to-end user stories used as the validation oracle."
"behavior-driven development (BDD)","Direct ancestor of scenario-based validation; Given/When/Then is the executable spec format dark factories rely on."
"vibe coding","Antonym/foil: vibe coding is informal prompting; dark factory replaces it with formal specs+harness."
"Plan-Execute-Verify (PEV) pattern","Three-phase agent architecture (plan, execute, verify) underlying most dark factory loops."
"harness engineering","Discipline of building the test/eval/feedback loop around the agent; harness is half of 'agent = model + harness'."
"validation harness","StrongDM's term for the end-to-end environment plus scenario runner; the 'V' in seed → harness → loop."
"agent harness","Generic synonym for validation harness; popularised by Anthropic / Augment / OpenAI Codex blogs."
"closed-loop coding","Pattern in which agent output feeds back into agent input via tests / observability."
"feedback loop / convergence loop","The mechanism by which the dark factory compounds correctness rather than error."
"long-horizon agentic workflows","StrongDM's inflection-point phrase; describes multi-hour to multi-day coding loops."
"compound correctness","StrongDM coinage describing how good loops accumulate quality rather than errors."
"satisfaction metric","StrongDM's probabilistic, LLM-judged metric for whether a scenario likely satisfied the user."
"LLM-as-judge","Evaluation pattern in which an LLM grades agent output; dark factories rely on it for scenario satisfaction."
"generator-judge separation","Best-practice principle: don't let the agent that writes the code grade its own work."
"reward hacking / evaluation gaming","Pitfall: agents that game the metric instead of solving the task."
"Goodhart's law","Theoretical concern raised by Willison about metricising token spend or test pass rate."
"reinforcement learning from execution feedback (RLEF)","Training-side cousin: model is updated using execution outcomes; dark factory is the inference-time analogue."
"holdout set (ML analogy)","StrongDM treats scenarios like an ML holdout set kept outside the codebase."
"digital twin","Virtual replica of an external service; StrongDM's 'Digital Twin Universe' clones Okta, Slack, Jira, Google Workspace."
"service virtualization / API mocking","Generic SaaS twin; predates dark factories but underpins them."
"ephemeral environments","Per-task container/VM spun up for an agent (Signadot, Northflank, Coder, e2b) — the substrate for harnesses."
"agent sandbox","Isolated execution environment in which an agent's actions are confined; required for safe dark-factory operation."
"observability-driven harness","Datadog/Augment framing: harnesses driven by traces, metrics and prod telemetry, not just unit tests."
"agentic harness engineering (AHE)","ArXiv proposal for self-evolving harnesses with component/experience/decision observability."
"recursive self-improvement","Stronger framing: code that fixes its own errors and rewrites its own tests; full dark factory is a weak form of RSI."
"self-healing code","Marketing-friendly cousin: production code that detects and repairs itself, often at the edges of dark factories."
"continuous delivery for agents","CI/CD adapted so agents (not humans) commit and merge."
"PR-driven agents","Pattern in which agents only ship via PRs that pass CI; SWE-AF, OpenAI Codex Cloud, Devin all use it."
"droid / digital coworker","Factory.ai's branding for a per-task autonomous agent; effectively a dark-factory worker."
"specification-as-code","Specs versioned alongside code; a precondition for reproducible dark-factory runs."
"human-out-of-the-loop (HOTL)","Contrast with HITL; the dark factory pushes humans out of the inner loop entirely."
"AI engineering organization design","The org-chart side: small teams, no PRs to review, role of PM and SRE shifts."
"$1k/engineer/day token budget","StrongDM's controversial benchmark for whether a team is using its factory enough."
"agent telemetry","Per-step traces, costs, decisions; required for diagnosis when no human reads the code."
"agent governance / control plane","Policy layer that keeps agents inside guardrails; SWE-AF's governance agent is an example."
"Claude Code / Codex / Devin / Cursor Cloud","Concrete tools used to staff dark factories at the time of writing."
"Anthropic 2026 Agentic Coding Trends Report","First-party big-lab survey of agentic coding adoption at frontier labs."
"SWE-bench / SWE-bench Verified / SWE-bench Pro","Benchmarks the dark-factory community uses to compare agents on real GitHub issues."
"METR long-horizon benchmarks","METR's 2026 measurement that agents can sustain ~14.5 hours of autonomous work, doubling every ~123 days."
"slop / AI slop","Pejorative for low-quality AI output; dark factory critics worry it scales slop."
"agent sprawl","Pitfall: too many agents, lock contention, no ownership."
"model-vs-harness debate","Argument that harnesses now matter more than model upgrades for end-to-end performance."
